fips,population,year,county,sex,age,ci,aci,rate,ageAdjust,count,
"27000","8346991","2008-2010","Minnesota","All","All Ages 35+ Combined                                                 ","(30.5 - 31.2)","(28.8 - 29.6)","30.9","29.2","25751",,
"27000","8584362","2011-2013","Minnesota","All","All Ages 35+ Combined                                                 ","(28.8 - 29.6)","(26.4 - 27.0)","29.2","26.7","25070",,
"27000","8762674","2013-2015","Minnesota","All","All Ages 35+ Combined                                                 ","(28.6 - 29.3)","(25.8 - 26.4)","29","26.1","25404",,
"27000","8936064","2015-2017","Minnesota","ALL","All Ages 35+ Combined                                                 ","(0.0 - 0.0)","(0.0 - 0.0)","29.8","26.5","26626",,
"27000","9031469","2016-2018","Minnesota","All","All Ages 35+ Combined                                                 ","(29.5 - 30.2)","(26.1 - 26.7)","29.9","26.4","26995",,
"27000","9138107","2017-2019","Minnesota","All","All Ages 35+ Combined                                                 ","(30.1 - 30.8)","(26.4 - 27.0)","30.5","26.7","27842",,
"27000","9229616","2018-2020","Minnesota","All","All Ages 35+ Combined                                                 ","(29.2 - 29.9)","(25.3 - 26.0)","29.5","25.7","27234",,
"27001","31901","2008-2010","Aitkin","All","All Ages 35+ Combined                                                 ","(50.5 - 67.4)","(36.5 - 49.4)","58.9","42.9","188",,
"27001","33324","2011-2013","Aitkin","All","All Ages 35+ Combined                                                 ","(45.6 - 61.3)","(35.2 - 49.4)","53.4","42.3","178",,
"27001","32816","2013-2015","Aitkin","All","All Ages 35+ Combined                                                 ","(33.1 - 46.8)","(24.2 - 35.9)","39.9","30.1","131",,
"27001","31879","2015-2017","Aitkin","ALL","All Ages 35+ Combined                                                 ","(0.0 - 0.0)","(0.0 - 0.0)","46","40.5","146.49",,
"27001","32226","2016-2018","Aitkin","All","All Ages 35+ Combined                                                 ","(36.0 - 50.3)","(29.1 - 43.8)","43.1","36.5","139.02",,
"27001","32862","2017-2019","Aitkin","All","All Ages 35+ Combined                                                 ","(35.3 - 49.4)","(24.2 - 35.9)","42.4","30.1","139.28",,
"27001","33519","2018-2020","Aitkin","All","All Ages 35+ Combined                                                 ","(39.2 - 53.8)","(27.2 - 39.8)","46.5","33.5","155.95",,
"27001","11180","2020","Aitkin","All","All Ages 35+ Combined                                                 ","(29.7 - 54.4)","(21.9 - 46.8)","40.7","32.6","45.49",,
"27003","516929","2008-2010","Anoka","All","All Ages 35+ Combined                                                 ","(20.8 - 23.4)","(23.4 - 26.5)","22.1","25","1142",,
"27003","540179","2011-2013","Anoka","All","All Ages 35+ Combined                                                 ","(20.5 - 23.0)","(21.8 - 24.5)","21.8","23.2","1177",,
"27003","555076","2013-2015","Anoka","All","All Ages 35+ Combined                                                 ","(25.3 - 28.0)","(25.7 - 28.6)","26.6","27.1","1478",,
"27003","555197","2015-2017","Anoka","ALL","All Ages 35+ Combined                                                 ","(0.0 - 0.0)","(0.0 - 0.0)","25.1","31.1","1394.7",,
"27003","568072","2016-2018","Anoka","All","All Ages 35+ Combined                                                 ","(25.2 - 27.9)","(28.6 - 32.3)","26.5","30.4","1507.65",,
"27003","575451","2017-2019","Anoka","All","All Ages 35+ Combined                                                 ","(25.7 - 28.4)","(25.8 - 28.6)","27","27.2","1554.97",,
"27003","582981","2018-2020","Anoka","All","All Ages 35+ Combined                                                 ","(26.8 - 29.5)","(25.5 - 28.1)","28.1","26.8","1639.08",,
"27003","195166","2020","Anoka","All","All Ages 35+ Combined                                                 ","(23.0 - 27.5)","(22.0 - 26.4)","25.2","24.2","492.48",,
"27005","54985","2008-2010","Becker","All","All Ages 35+ Combined                                                 ","(49.6 - 62.1)","(41.5 - 52.2)","55.8","46.9","307",,
"27005","57173","2011-2013","Becker","All","All Ages 35+ Combined                                                 ","(41.3 - 52.5)","(33.3 - 42.6)","46.9","38","268",,
"27005","57662","2013-2015","Becker","All","All Ages 35+ Combined                                                 ","(48.8 - 60.8)","(39.7 - 50.1)","54.8","44.9","316",,
"27005","56556","2015-2017","Becker","ALL","All Ages 35+ Combined                                                 ","(0.0 - 0.0)","(0.0 - 0.0)","49.9","45.3","282.46",,
"27005","57504","2016-2018","Becker","All","All Ages 35+ Combined                                                 ","(45.6 - 57.3)","(41.3 - 53.9)","51.5","47.6","295.98",,
"27005","58529","2017-2019","Becker","All","All Ages 35+ Combined                                                 ","(45.8 - 57.4)","(36.0 - 45.6)","51.6","40.8","301.97",,
"27005","59533","2018-2020","Becker","All","All Ages 35+ Combined                                                 ","(50.2 - 62.3)","(38.6 - 48.3)","56.3","43.5","334.92",,
"27005","19903","2020","Becker","All","All Ages 35+ Combined                                                 ","(43.7 - 64.1)","(34.6 - 51.9)","53.9","43.2","107.28",,
"27007","62820","2008-2010","Beltrami","All","All Ages 35+ Combined                                                 ","(40.4 - 51.0)","(36.5 - 46.2)","45.7","41.3","287",,
"27007","65846","2011-2013","Beltrami","All","All Ages 35+ Combined                                                 ","(39.1 - 49.3)","(34.2 - 43.4)","44.2","38.8","291",,
