,year,countyServed,max arsenic (ug/L)
0,1998,Aitkin,4.4
1,1998,Anoka,11
2,1998,Becker,11
3,1998,Beltrami,3.8
4,1998,Benton,0.5
5,1998,Big Stone,3.8
6,1998,Blue Earth,6.5
7,1998,Brown,5.3
8,1998,Carlton,1.9
9,1998,Carver,1.4
10,1998,Cass,3.3
11,1998,Chippewa,3.4
12,1998,Chisago,4.8
13,1998,Clay,23
14,1998,Clearwater,2.6
15,1998,Cook,4.4
16,1998,Cottonwood,2.9
17,1998,Crow Wing,6.1
18,1998,Dakota,2.9
19,1998,Dodge,0.5
20,1998,Douglas,3.7
21,1998,Faribault,11
22,1998,Fillmore,0.5
23,1998,Freeborn,2.8
24,1998,Goodhue,0.5
25,1998,Hennepin,4.8
26,1998,Houston,0.5
27,1998,Hubbard,0.5
28,1998,Isanti,0.5
29,1998,Itasca,3.4
30,1998,Jackson,0.5
31,1998,Kandiyohi,6.2
32,1998,Kittson,0.5
33,1998,Koochiching,0.5
34,1998,Lac Qui Parle,1.8
35,1998,Lake,0.5
36,1998,Lake of the Woods,1.5
37,1998,Le Sueur,0.5
38,1998,Lincoln,1.8
39,1998,Lyon,5.3
40,1998,Marshall,17
41,1998,Martin,0.5
42,1998,Meeker,3.7
43,1998,Mille Lacs,0.5
44,1998,Morrison,1.5
45,1998,Mower,2
46,1998,Murray,4.5
47,1998,Nobles,1.8
48,1998,Norman,3
49,1998,Olmsted,2.1
50,1998,Otter Tail,29
51,1998,Pennington,0.5
52,1998,Pine,8
53,1998,Pipestone,1.8
54,1998,Polk,17
55,1998,Pope,4.5
56,1998,Ramsey,17
57,1998,Red Lake,1.8
58,1998,Redwood,4.7
59,1998,Renville,7.5
60,1998,Rice,0.5
61,1998,Rock,1.8
62,1998,Roseau,5.6
63,1998,Scott,1.4
64,1998,Sherburne,1.4
65,1998,St. Louis,0.5
66,1998,Stearns,3.3
67,1998,Steele,0.5
68,1998,Stevens,2.5
69,1998,Swift,3.8
70,1998,Todd,1.5
71,1998,Traverse,31
72,1998,Wabasha,0.5
73,1998,Washington,5.4
74,1998,Watonwan,0.5
75,1998,Wilkin,2.3
76,1998,Wright,5.4
77,1998,Yellow Medicine,1.8
78,1999,Aitkin,4.4
79,1999,Anoka,11
80,1999,Becker,11
81,1999,Beltrami,3.8
82,1999,Benton,1.9
83,1999,Big Stone,3.8
84,1999,Blue Earth,6.9
85,1999,Brown,5.3
86,1999,Carlton,1.9
87,1999,Carver,6.9
88,1999,Cass,3.3
89,1999,Chippewa,4
90,1999,Chisago,4.8
91,1999,Clay,24
92,1999,Clearwater,2.6
93,1999,Cook,4.4
94,1999,Cottonwood,2.9
95,1999,Crow Wing,6.1
96,1999,Dakota,2.9
97,1999,Dodge,0.5
98,1999,Douglas,3.7
99,1999,Faribault,11
100,1999,Fillmore,0.5
101,1999,Freeborn,2.8
102,1999,Goodhue,0.5
103,1999,Grant,25
104,1999,Hennepin,6.5
105,1999,Houston,0.5
106,1999,Hubbard,0.5
107,1999,Isanti,0.5
108,1999,Itasca,4.9
109,1999,Jackson,4.3
110,1999,Kanabec,6.1
111,1999,Kandiyohi,6.6
112,1999,Kittson,0.5
113,1999,Koochiching,11
114,1999,Lac Qui Parle,1.8
115,1999,Lake,0.5
116,1999,Lake of the Woods,1.5
117,1999,Le Sueur,4.5
118,1999,Lincoln,1.8
119,1999,Lyon,5.3
120,1999,Mahnomen,7.4
121,1999,Marshall,17
122,1999,Martin,6.7
123,1999,McLeod,39
124,1999,Meeker,16
125,1999,Mille Lacs,2.5
126,1999,Morrison,4.5
127,1999,Mower,13
128,1999,Murray,5.2
129,1999,Nicollet,1.01
130,1999,Nobles,1.8
131,1999,Norman,3
132,1999,Olmsted,1.8
133,1999,Otter Tail,22
134,1999,Pennington,0.5
135,1999,Pine,8
136,1999,Pipestone,1.8
137,1999,Polk,35
138,1999,Pope,4.5
139,1999,Ramsey,7.9
140,1999,Red Lake,1.2
141,1999,Redwood,4.7
142,1999,Renville,31.7
143,1999,Rice,2.8
144,1999,Rock,1.8
145,1999,Roseau,7.4
146,1999,Scott,1.4
147,1999,Sherburne,1.6
148,1999,Sibley,16
149,1999,St. Louis,4
150,1999,Stearns,3.9
151,1999,Steele,1.1
152,1999,Stevens,2.5
153,1999,Swift,7.5
154,1999,Todd,6
155,1999,Traverse,31
156,1999,Wabasha,0.5
157,1999,Wadena,2
158,1999,Waseca,4.5
159,1999,Washington,5.4
160,1999,Watonwan,0.5
161,1999,Wilkin,2.3
162,1999,Winona,0.5
163,1999,Wright,9
164,1999,Yellow Medicine,2.17
165,2001,Aitkin,4.4
166,2001,Anoka,11
167,2001,Becker,11
168,2001,Beltrami,3.8
169,2001,Benton,1.9
170,2001,Big Stone,3.8
171,2001,Blue Earth,6.9
172,2001,Brown,5.3
173,2001,Carlton,1.9
174,2001,Carver,7.06
175,2001,Cass,3.3
176,2001,Chippewa,4
177,2001,Chisago,4.8
178,2001,Clay,29.4
179,2001,Clearwater,2.6
180,2001,Cook,4.4
181,2001,Cottonwood,2.9
182,2001,Crow Wing,6.1
183,2001,Dakota,2.9
184,2001,Dodge,0.5
185,2001,Douglas,3.7
186,2001,Faribault,11
187,2001,Fillmore,0.5
