fips,location,year,type,age,sex,count,population,rate,unstable,ci,lci,uci
27000,Minnesota,2015-2019,Chronic lymphocytic leukemia,All Ages,All,2100,27816887,6.2,FALSE,(5.9 - 6.5),5.9,6.5
27000,Minnesota,2015-2019,Thyroid,All Ages,All,3561,27816887,12.3,FALSE,(11.9 - 12.7),11.9,12.7
27000,Minnesota,2010-2014,Thyroid,All Ages,All,3601,26898172,13,FALSE,(12.5 - 13.4),12.5,13.4
27000,Minnesota,2015-2019,Pancreas,All Ages,All,4653,27816887,13.8,FALSE,(13.4 - 14.2),13.4,14.2
27000,Minnesota,2010-2014,Pancreas,All Ages,All,3619,26898172,12,FALSE,(11.6 - 12.4),11.6,12.4
27000,Minnesota,2015-2019,Oral and pharyngeal,All Ages,All,4200,27816887,12.4,FALSE,(12.0 - 12.8),12,12.8
27000,Minnesota,2010-2014,Oral and pharyngeal,All Ages,All,3665,26898172,11.8,FALSE,(11.4 - 12.2),11.4,12.2
27000,Minnesota,2015-2019,Non-Hodgkin lymphoma,All Ages,All,7074,27816887,21.5,FALSE,(21.0 - 22.0),21,22
27000,Minnesota,2010-2014,Non-Hodgkin lymphoma,All Ages,All,6605,26898172,22.3,FALSE,(21.8 - 22.9),21.8,22.9
27000,Minnesota,2015-2019,Mesothelioma,All Ages,All,374,27816887,1.2,FALSE,(1.0 - 1.3),1,1.3
27000,Minnesota,2010-2014,Mesothelioma,All Ages,All,379,26898172,1.3,FALSE,(1.2 - 1.4),1.2,1.4
27000,Minnesota,2015-2019,Melanoma,All Ages,All,11113,27816887,35,FALSE,(34.4 - 35.7),34.4,35.7
27000,Minnesota,2010-2014,Melanoma,All Ages,All,8475,26898172,29,FALSE,(28.3 - 29.6),28.3,29.6
27000,Minnesota,2015-2019,Lung and bronchus,All Ages,All,18933,27816887,55.6,FALSE,(54.8 - 56.4),54.8,56.4
27000,Minnesota,2010-2014,Lung and bronchus,All Ages,All,16637,26898172,55.7,FALSE,(54.8 - 56.5),54.8,56.5
27000,Minnesota,2015-2019,Liver and bile duct,All Ages,All,2719,27816887,7.9,FALSE,(7.6 - 8.2),7.6,8.2
27000,Minnesota,2010-2014,Liver and bile duct,All Ages,All,1809,26898172,5.8,FALSE,(5.5 - 6.0),5.5,6
27000,Minnesota,2015-2019,Leukemia,All Ages,All,5231,27816887,16.2,FALSE,(15.8 - 16.7),15.8,16.7
27000,Minnesota,2010-2014,Leukemia,All Ages,All,4978,26898172,16.9,FALSE,(16.4 - 17.4),16.4,17.4
27000,Minnesota,2015-2019,Larynx,All Ages,All,904,27816887,2.5,FALSE,(2.4 - 2.7),2.4,2.7
27000,Minnesota,2010-2014,Larynx,All Ages,All,896,26898172,2.9,FALSE,(2.7 - 3.1),2.7,3.1
27000,Minnesota,2015-2019,Kidney,All Ages,All,5862,27816887,17.7,FALSE,(17.3 - 18.2),17.3,18.2
27000,Minnesota,2010-2014,Kidney,All Ages,All,4915,26898172,16.4,FALSE,(15.9 - 16.8),15.9,16.8
27000,Minnesota,2015-2019,Esophagus,All Ages,All,1696,27816887,4.9,FALSE,(4.7 - 5.2),4.7,5.2
27000,Minnesota,2010-2014,Esophagus,All Ages,All,1473,26898172,4.8,FALSE,(4.6 - 5.1),4.6,5.1
27000,Minnesota,2015-2019,Colorectal,All Ages,All,12068,27816887,37.1,FALSE,(36.4 - 37.8),36.4,37.8
27000,Minnesota,2010-2014,Colorectal,All Ages,All,11654,26898172,39,FALSE,(38.3 - 39.7),38.3,39.7
27000,Minnesota,2010-2014,Chronic lymphocytic leukemia,All Ages,All,2160,26898172,7.1,FALSE,(6.8 - 7.4),6.8,7.4
27000,Minnesota,2015-2019,Brain and other nervous system,All Ages,All,2154,27816887,7,FALSE,(6.7 - 7.4),6.7,7.4
27000,Minnesota,2010-2014,Brain and other nervous system,All Ages,All,2018,26898172,7.1,FALSE,(6.8 - 7.4),6.8,7.4
27000,Minnesota,2015-2019,Bladder,All Ages,All,7166,27816887,21.3,FALSE,(20.8 - 21.8),20.8,21.8
27000,Minnesota,2010-2014,Bladder,All Ages,All,6748,26898172,22.5,FALSE,(21.9 - 23.0),21.9,23
27000,Minnesota,2015-2019,Acute myeloid leukemia,All Ages,All,1616,27816887,5,FALSE,(4.8 - 5.3),4.8,5.3
