fips,county,yearText,count,population,rate,ci,lci,uci,ageAdjust,aci,alci,auci,incident,ageText,sexText,Compared to Minnesota,
"27173","Yellow Medicine","2015-2017","0.0","29566"," "," ","null","null","0.0 (UR)","(0.0 - 0.0)","0","0","cohosp","","","Lower than Minnesota",,
"27173","Yellow Medicine","2018-2020","1-5*","29384","*"," ","null","null","*"," ","null","null","cohosp","","","Lower than Minnesota",,
"27171","Wright","2015-2017","5.1","397576"," "," ","null","null","0.5 (UR)","(0.1 - 1.7)","0.1","1.7","cohosp","","","Same as Minnesota",,
"27171","Wright","2018-2020","0.0","407174"," "," ","null","null","0.0 (UR)","(0.0 - 0.0)","0","0","cohosp","","","Lower than Minnesota",,
"27169","Winona","2015-2017","3.9","152352"," "," ","null","null","1.5 (UR)","(0.1 - 5.8)","0.1","5.8","cohosp","","","Same as Minnesota",,
"27169","Winona","2018-2020","0.0","152294"," "," ","null","null","0.0 (UR)","(0.0 - 0.0)","0","0","cohosp","","","Lower than Minnesota",,
"27167","Wilkin","2018-2020","1-5*","18809","*"," ","null","null","*"," ","null","null","cohosp","","","Lower than Minnesota",,
"27167","Wilkin","2015-2017","0.0","18999"," "," ","null","null","0.0 (UR)","(0.0 - 0.0)","0","0","cohosp","","","Lower than Minnesota",,
"27165","Watonwan","2015-2017","0.0","32900"," "," ","null","null","0.0 (UR)","(0.0 - 0.0)","0","0","cohosp","","","Lower than Minnesota",,
"27165","Watonwan","2018-2020","0.0","32855"," "," ","null","null","0.0 (UR)","(0.0 - 0.0)","0","0","cohosp","","","Lower than Minnesota",,
"27163","Washington","2018-2020","4.1","774211"," "," ","null","null","0.3 (UR)","(0.0 - 1.1)","0","1.1","cohosp","","","Same as Minnesota",,
"27163","Washington","2015-2017","9.3","758841"," "," ","null","null","0.6 (UR)","(0.2 - 1.5)","0.2","1.5","cohosp","","","Same as Minnesota",,
"27161","Waseca","2015-2017","7.6","56428"," "," ","null","null","6.8 (UR)","(1.8 - 17.9)","1.8","17.9","cohosp","","","Higher than Minnesota",,
"27161","Waseca","2018-2020","1-5*","56089","*"," ","null","null","*"," ","null","null","cohosp","","","Lower than Minnesota",,
"27159","Wadena","2015-2017","0.0","40865"," "," ","null","null","0.0 (UR)","(0.0 - 0.0)","0","0","cohosp","","","Lower than Minnesota",,
"27159","Wadena","2018-2020","1-5*","41108","*"," ","null","null","*"," ","null","null","cohosp","","","Lower than Minnesota",,
"27157","Wabasha","2015-2017","1-5*","64395","*"," ","null","null","*"," ","null","null","cohosp","","","Lower than Minnesota",,
"27157","Wabasha","2018-2020","6.9","64746"," "," ","null","null","3.8 (UR)","(0.9 - 10.5)","0.9","10.5","cohosp","","","Same as Minnesota",,
"27155","Traverse","2018-2020","0.0","9901"," "," ","null","null","0.0 (UR)","(0.0 - 0.0)","0","0","cohosp","","","Lower than Minnesota",,
"27155","Traverse","2015-2017","0.0","9999"," "," ","null","null","0.0 (UR)","(0.0 - 0.0)","0","0","cohosp","","","Lower than Minnesota",,
"27153","Todd","2015-2017","0.0","73261"," "," ","null","null","0.0 (UR)","(0.0 - 0.0)","0","0","cohosp","","","Lower than Minnesota",,
"27153","Todd","2018-2020","1-5*","73679","*"," ","null","null","*"," ","null","null","cohosp","","","Lower than Minnesota",,
"27151","Swift","2015-2017","1-5*","28222","*"," ","null","null","*"," ","null","null","cohosp","","","Lower than Minnesota",,
"27151","Swift","2018-2020","0.0","28033"," "," ","null","null","0.0 (UR)","(0.0 - 0.0)","0","0","cohosp","","","Lower than Minnesota",,
"27149","Stevens","2018-2020","0.0","29312"," "," ","null","null","0.0 (UR)","(0.0 - 0.0)","0","0","cohosp","","","Lower than Minnesota",,
"27149","Stevens","2015-2017","0.0","29320"," "," ","null","null","0.0 (UR)","(0.0 - 0.0)","0","0","cohosp","","","Lower than Minnesota",,
"27147","Steele","2018-2020","2.0","110196"," "," ","null","null","0.6 (UR)","(0.0 - 3.4)","0","3.4","cohosp","","","Same as Minnesota",,
"27147","Steele","2015-2017","0.1","110096"," "," ","null","null","0.1 (UR)","(0.0 - 3.7)","0","3.7","cohosp","","","Same as Minnesota",,
"27145","Stearns","2015-2017","8.0","470865"," "," ","null","null","0.8 (UR)","(0.2 - 2.0)","0.2","2","cohosp","","","Same as Minnesota",,
"27145","Stearns","2018-2020","7.3","477496"," "," ","null","null","0.6 (UR)","(0.1 - 1.6)","0.1","1.6","cohosp","","","Same as Minnesota",,
"27143","Sibley","2018-2020","0.0","44791"," "," ","null","null","0.0 (UR)","(0.0 - 0.0)","0","0","cohosp","","","Lower than Minnesota",,
"27143","Sibley","2015-2017","1-5*","44606","*"," ","null","null","*"," ","null","null","cohosp","","","Lower than Minnesota",,
"27141","Sherburne","2015-2017","2.3","279229"," "," ","null","null","0.3 (UR)","(0.0 - 1.5)","0","1.5","cohosp","","","Same as Minnesota",,
"27141","Sherburne","2018-2020","6.0","286514"," "," ","null","null","1.1 (UR)","(0.2 - 3.3)","0.2","3.3","cohosp","","","Same as Minnesota",,
"27139","Scott","2015-2017","4.0","430296"," "," ","null","null","0.4 (UR)","(0.1 - 1.5)","0.1","1.5","cohosp","","","Same as Minnesota",,
"27139","Scott","2018-2020","6.1","439857"," "," ","null","null","0.7 (UR)","(0.1 - 2.1)","0.1","2.1","cohosp","","","Same as Minnesota",,
"27137","St. Louis","2015-2017","13.8","599999"," "," ","null","null","1.1 (UR)","(0.4 - 2.5)","0.4","2.5","cohosp","","","Same as Minnesota",,
"27137","St. Louis","2018-2020","12.0","599012"," "," ","null","null","0.8 (UR)","(0.3 - 1.8)","0.3","1.8","cohosp","","","Same as Minnesota",,
"27135","Roseau","2018-2020","0.0","45770"," "," ","null","null","0.0 (UR)","(0.0 - 0.0)","0","0","cohosp","","","Lower than Minnesota",,
"27135","Roseau","2015-2017","0.0","46484"," "," ","null","null","0.0 (UR)","(0.0 - 0.0)","0","0","cohosp","","","Lower than Minnesota",,
"27133","Rock","2015-2017","0.0","28273"," "," ","null","null","0.0 (UR)","(0.0 - 0.0)","0","0","cohosp","","","Lower than Minnesota",,
"27133","Rock","2018-2020","1-5*","28202","*"," ","null","null","*"," ","null","null","cohosp","","","Lower than Minnesota",,
"27131","Rice","2018-2020","2.1","199257"," "," ","null","null","0.5 (UR)","(0.0 - 2.8)","0","2.8","cohosp","","","Same as Minnesota",,
"27131","Rice","2015-2017","0.0","197305"," "," ","null","null","0.0 (UR)","(0.0 - 0.0)","0","0","cohosp","","","Lower than Minnesota",,
"27129","Renville","2018-2020","1-5*","43836","*"," ","null","null","*"," ","null","null","cohosp","","","Lower than Minnesota",,
"27129","Renville","2015-2017","1-5*","44063","*"," ","null","null","*"," ","null","null","cohosp","","","Lower than Minnesota",,
"27127","Redwood","2018-2020","0.0","45703"," "," ","null","null","0.0 (UR)","(0.0 - 0.0)","0","0","cohosp","","","Lower than Minnesota",,
"27127","Redwood","2015-2017","0.0","45875"," "," ","null","null","0.0 (UR)","(0.0 - 0.0)","0","0","cohosp","","","Lower than Minnesota",,
"27125","Red Lake","2015-2017","1-5*","12044","*"," ","null","null","*"," ","null","null","cohosp","","","Lower than Minnesota",,
"27125","Red Lake","2018-2020","0.0","12019"," "," ","null","null","0.0 (UR)","(0.0 - 0.0)","0","0","cohosp","","","Lower than Minnesota",,
"27123","Ramsey","2018-2020","24.3","1641250"," "," ","null","null","0.8","(0.4 - 1.5)","0.4","1.5","cohosp","","","Same as Minnesota",,
"27123","Ramsey","2015-2017","9.8","1624341"," "," ","null","null","0.3 (UR)","(0.1 - 0.7)","0.1","0.7","cohosp","","","Same as Minnesota",,
"27121","Pope","2015-2017","1-5*","32878","*"," ","null","null","*"," ","null","null","cohosp","","","Lower than Minnesota",,
"27121","Pope","2018-2020","1-5*","33252","*"," ","null","null","*"," ","null","null","cohosp","","","Lower than Minnesota",,
"27119","Polk","2018-2020","0.0","94434"," "," ","null","null","0.0 (UR)","(0.0 - 0.0)","0","0","cohosp","","","Lower than Minnesota",,
"27119","Polk","2015-2017","1-5*","94933","*"," ","null","null","*"," ","null","null","cohosp","","","Lower than Minnesota",,
"27117","Pipestone","2015-2017","1-5*","27556","*"," ","null","null","*"," ","null","null","cohosp","","","Lower than Minnesota",,
"27117","Pipestone","2018-2020","1-5*","27401","*"," ","null","null","*"," ","null","null","cohosp","","","Lower than Minnesota",,
"27115","Pine","2018-2020","1-5*","87960","*"," ","null","null","*"," ","null","null","cohosp","","","Lower than Minnesota",,
"27115","Pine","2015-2017","1-5*","87083","*"," ","null","null","*"," ","null","null","cohosp","","","Lower than Minnesota",,
"27113","Pennington","2015-2017","1-5*","42632","*"," ","null","null","*"," ","null","null","cohosp","","","Lower than Minnesota",,
"27113","Pennington","2018-2020","0.0","42471"," "," ","null","null","0.0 (UR)","(0.0 - 0.0)","0","0","cohosp","","","Lower than Minnesota",,
"27111","Otter Tail","2015-2017","4.1","173660"," "," ","null","null","0.6 (UR)","(0.1 - 2.2)","0.1","2.2","cohosp","","","Same as Minnesota",,
"27111","Otter Tail","2018-2020","1.8","175423"," "," ","null","null","0.3 (UR)","(0.0 - 1.8)","0","1.8","cohosp","","","Same as Minnesota",,
"27109","Olmsted","2015-2017","0.4","458991"," "," ","null","null","0.0 (UR)","(0.0 - 0.0)","0","0","cohosp","","","Lower than Minnesota",,
"27109","Olmsted","2018-2020","10.0","467532"," "," ","null","null","1.0 (UR)","(0.3 - 2.3)","0.3","2.3","cohosp","","","Same as Minnesota",,
"27107","Norman","2018-2020","0.0","19461"," "," ","null","null","0.0 (UR)","(0.0 - 0.0)","0","0","cohosp","","","Lower than Minnesota",,
"27107","Norman","2015-2017","0.0","19735"," "," ","null","null","0.0 (UR)","(0.0 - 0.0)","0","0","cohosp","","","Lower than Minnesota",,
"27105","Nobles","2018-2020","1-5*","65325","*"," ","null","null","*"," ","null","null","cohosp","","","Lower than Minnesota",,
"27105","Nobles","2015-2017","0.0","65568"," "," ","null","null","0.0 (UR)","(0.0 - 0.0)","0","0","cohosp","","","Lower than Minnesota",,
"27103","Nicollet","2018-2020","0.0","102350"," "," ","null","null","0.0 (UR)","(0.0 - 0.0)","0","0","cohosp","","","Lower than Minnesota",,
"27103","Nicollet","2015-2017","0.0","101322"," "," ","null","null","0.0 (UR)","(0.0 - 0.0)","0","0","cohosp","","","Lower than Minnesota",,
"27101","Murray","2018-2020","0.0","24819"," "," ","null","null","0.0 (UR)","(0.0 - 0.0)","0","0","cohosp","","","Lower than Minnesota",,
