,Year,County,County Type,Sample Population,Poverty Population,Poverty Rate,Male Poverty Rate,Female Poverty Rate,Child Poverty Rate,Senior Poverty Rate
0,2010,Aitkin,Rural,16129.0,2185.0,13.55,6.13,7.42,4.11,3.52
1,2010,Anoka,Urban,323359.0,20730.0,6.41,2.78,3.63,2.17,1.03
2,2010,Becker,Rural,31644.0,3554.0,11.23,4.88,6.35,3.92,2.77
3,2010,Beltrami,Rural,42043.0,8383.0,19.94,9.17,10.77,7.27,2.12
4,2010,Benton,Urban,37411.0,4428.0,11.84,4.97,6.87,3.75,1.47
5,2010,Big Stone,Rural,5320.0,500.0,9.4,3.97,5.43,2.29,3.36
6,2010,Blue Earth,Rural,59729.0,11331.0,18.97,8.9,10.07,2.83,1.71
7,2010,Brown,Rural,24833.0,2434.0,9.8,4.34,5.46,3.42,2.84
8,2010,Carlton,Urban,33658.0,3520.0,10.46,4.91,5.55,3.3,2.06
9,2010,Carver,Urban,88071.0,4172.0,4.74,1.89,2.84,1.78,0.77
10,2010,Cass,Rural,28338.0,3707.0,13.08,6.04,7.04,3.93,2.78
11,2010,Chippewa,Rural,12171.0,1143.0,9.39,3.61,5.78,2.37,3.03
12,2010,Chisago,Urban,50585.0,3594.0,7.1,2.76,4.34,2.53,1.35
13,2010,Clay,Urban,53020.0,6358.0,11.99,5.15,6.84,3.13,1.42
14,2010,Clearwater,Rural,8341.0,1296.0,15.54,6.67,8.87,5.26,3.62
15,2010,Cook,Rural,5203.0,463.0,8.9,5.25,3.65,1.65,1.23
16,2010,Cottonwood,Rural,11609.0,1263.0,10.88,4.33,6.55,3.44,2.7
17,2010,Crow Wing,Rural,61064.0,7008.0,11.48,5.3,6.17,3.12,2.59
18,2010,Dakota,Urban,391308.0,21768.0,5.56,2.58,2.99,1.77,0.84
19,2010,Dodge,Urban,19682.0,1204.0,6.12,2.67,3.45,2.2,1.77
20,2010,Douglas,Rural,35366.0,3800.0,10.74,5.26,5.49,2.29,2.32
21,2010,Faribault,Rural,14484.0,1581.0,10.92,4.23,6.68,3.51,3.45
22,2010,Fillmore,Rural,20344.0,2497.0,12.27,5.82,6.45,3.97,3.15
23,2010,Freeborn,Rural,30658.0,3052.0,9.95,4.08,5.87,2.83,2.63
24,2010,Goodhue,Rural,45357.0,3724.0,8.21,4.08,4.13,2.63,2.04
25,2010,Grant,Rural,5931.0,712.0,12.0,5.88,6.12,3.25,4.25
26,2010,Hennepin,Urban,1114933.0,134363.0,12.05,5.56,6.49,3.85,1.61
27,2010,Houston,Urban,18893.0,1732.0,9.17,4.06,5.11,3.11,2.66
28,2010,Hubbard,Rural,20020.0,2346.0,11.72,5.65,6.06,3.87,2.55
29,2010,Isanti,Urban,37138.0,3298.0,8.88,4.53,4.35,3.08,1.27
30,2010,Itasca,Rural,43690.0,5166.0,11.82,5.95,5.88,3.2,2.5
31,2010,Jackson,Rural,10253.0,933.0,9.1,3.42,5.68,1.97,2.95
32,2010,Kanabec,Rural,16334.0,2036.0,12.46,5.57,6.9,4.03,2.83
33,2010,Kandiyohi,Rural,40693.0,4920.0,12.09,5.39,6.7,4.43,1.69
