,Year,County,County Type,Sample Population,Poverty Population,Poverty Rate,Poverty Rate (White),Poverty Rate (Black/African American),Poverty Rate (American Indian/Alaska Native),Poverty Rate (Asian),Poverty Rate (Hawaiian/Pacific Islander),Poverty Rate (Other Races),Poverty Rate (Two Or More Races),Poverty Rate (White non-Hispanic/Latino),Poverty Rate (Hispanic/Latino)
0,2010,Aitkin,Rural,16129.0,2185.0,13.55,12.22,14.29,45.6,16.07,,79.69,33.04,12.22,44.12
1,2010,Anoka,Urban,323359.0,20730.0,6.41,5.28,22.62,15.98,6.71,0.0,23.09,11.45,5.13,16.39
2,2010,Becker,Rural,31644.0,3554.0,11.23,9.04,34.65,33.07,17.46,0.0,27.4,22.97,8.9,33.03
3,2010,Beltrami,Rural,42043.0,8383.0,19.94,11.89,25.84,50.21,15.3,0.0,17.92,31.26,11.75,28.8
4,2010,Benton,Urban,37411.0,4428.0,11.84,10.48,42.88,42.64,9.02,,14.81,50.08,9.95,45.33
5,2010,Big Stone,Rural,5320.0,500.0,9.4,9.0,100.0,0.0,0.0,,14.29,26.32,9.05,8.2
6,2010,Blue Earth,Rural,59729.0,11331.0,18.97,16.89,68.32,35.58,26.78,0.0,68.25,34.37,16.89,35.81
7,2010,Brown,Rural,24833.0,2434.0,9.8,9.97,63.64,,3.42,0.0,0.8,1.36,9.69,15.4
8,2010,Carlton,Urban,33658.0,3520.0,10.46,8.95,25.17,32.59,6.49,0.0,0.74,19.97,8.9,9.74
9,2010,Carver,Urban,88071.0,4172.0,4.74,3.69,17.09,19.81,3.57,0.0,46.12,15.2,3.61,25.01
10,2010,Cass,Rural,28338.0,3707.0,13.08,10.72,0.0,33.25,9.62,0.0,66.25,13.2,10.3,50.26
11,2010,Chippewa,Rural,12171.0,1143.0,9.39,9.13,37.88,45.28,31.82,,0.75,5.6,9.19,3.6
12,2010,Chisago,Urban,50585.0,3594.0,7.1,6.89,4.55,4.63,22.93,0.0,8.47,15.71,6.95,6.12
13,2010,Clay,Urban,53020.0,6358.0,11.99,10.68,23.16,40.62,15.33,,57.74,22.6,10.47,33.35
14,2010,Clearwater,Rural,8341.0,1296.0,15.54,12.84,50.68,38.34,0.0,,0.0,19.85,12.92,0.0
15,2010,Cook,Rural,5203.0,463.0,8.9,7.61,100.0,21.45,5.88,,0.0,16.04,7.61,0.0
16,2010,Cottonwood,Rural,11609.0,1263.0,10.88,9.45,10.81,43.66,7.76,,67.16,24.73,8.07,51.28
17,2010,Crow Wing,Rural,61064.0,7008.0,11.48,10.63,55.32,58.33,18.52,,27.71,21.74,10.51,29.69
18,2010,Dakota,Urban,391308.0,21768.0,5.56,4.31,23.52,9.42,4.38,5.56,17.22,8.02,4.01,15.14
19,2010,Dodge,Urban,19682.0,1204.0,6.12,6.17,0.0,0.0,9.09,,0.0,5.21,5.91,10.67
20,2010,Douglas,Rural,35366.0,3800.0,10.74,10.17,47.7,16.45,46.27,0.0,100.0,34.8,10.21,24.78
21,2010,Faribault,Rural,14484.0,1581.0,10.92,10.32,0.0,0.0,13.51,,40.49,33.69,10.36,21.6
22,2010,Fillmore,Rural,20344.0,2497.0,12.27,11.98,18.92,31.71,42.31,,53.85,16.53,12.03,23.75
23,2010,Freeborn,Rural,30658.0,3052.0,9.95,9.21,17.48,2.88,43.03,,15.03,51.98,8.12,23.03
24,2010,Goodhue,Rural,45357.0,3724.0,8.21,6.64,66.88,53.31,0.77,0.0,40.66,28.69,6.3,28.39
25,2010,Grant,Rural,5931.0,712.0,12.0,11.71,6.9,0.0,0.0,,48.28,41.03,11.74,24.71
26,2010,Hennepin,Urban,1114933.0,134363.0,12.05,7.56,34.93,36.68,15.63,20.78,21.84,18.01,6.74,23.2
27,2010,Houston,Urban,18893.0,1732.0,9.17,8.17,100.0,54.29,0.0,0.0,0.0,66.38,8.09,20.51
28,2010,Hubbard,Rural,20020.0,2346.0,11.72,11.2,33.33,23.31,0.0,,27.5,22.03,11.25,19.08
29,2010,Isanti,Urban,37138.0,3298.0,8.88,8.19,34.45,30.33,25.91,0.0,0.0,29.12,8.06,18.63
30,2010,Itasca,Rural,43690.0,5166.0,11.82,11.03,60.14,34.84,13.22,,27.63,11.4,10.97,19.28
31,2010,Jackson,Rural,10253.0,933.0,9.1,8.78,0.0,0.0,0.0,0.0,12.33,63.95,8.51,29.34
32,2010,Kanabec,Rural,16334.0,2036.0,12.46,12.16,0.0,46.15,7.27,,69.23,26.81,12.12,32.98
33,2010,Kandiyohi,Rural,40693.0,4920.0,12.09,10.31,66.32,57.4,13.93,,24.87,41.84,7.38,38.6
34,2010,Kittson,Rural,4453.0,284.0,6.38,6.42,0.0,22.73,0.0,,0.0,0.0,6.44,0.0
35,2010,Koochiching,Rural,13416.0,1664.0,12.4,11.06,,37.97,0.0,,0.0,60.0,10.87,25.17
36,2010,Lac qui Parle,Rural,7071.0,661.0,9.35,8.94,0.0,100.0,55.17,0.0,37.14,7.32,8.85,26.67
37,2010,Lake,Rural,10793.0,1252.0,11.6,10.94,,83.61,2.56,,13.37,42.55,10.94,20.72
38,2010,Lake of the Woods,Rural,4137.0,565.0,13.66,13.38,0.0,60.0,0.0,,,27.88,13.38,0.0
39,2010,Le Sueur,Rural,27351.0,2230.0,8.15,6.42,58.93,60.0,10.16,,35.53,67.59,6.33,27.99
40,2010,Lincoln,Rural,5906.0,545.0,9.23,8.88,,64.0,0.0,0.0,23.91,10.0,8.92,14.29
41,2010,Lyon,Rural,24273.0,2950.0,12.15,9.08,50.0,85.27,19.47,100.0,49.84,30.43,8.33,41.68
42,2010,McLeod,Rural,36094.0,2390.0,6.62,5.63,73.95,35.92,8.73,,14.92,28.9,5.4,21.54
43,2010,Mahnomen,Rural,5254.0,1240.0,23.6,10.78,26.92,43.3,0.0,,0.0,14.07,9.88,41.44
44,2010,Marshall,Rural,9445.0,793.0,8.4,8.43,16.36,14.55,0.0,,0.0,5.0,8.41,7.59
45,2010,Martin,Rural,20621.0,1850.0,8.97,9.03,0.0,4.55,3.45,,0.0,15.84,8.84,12.73
46,2010,Meeker,Rural,22933.0,1983.0,8.65,8.34,0.0,26.92,0.0,0.0,51.81,0.0,8.12,27.92
47,2010,Mille Lacs,Rural,24938.0,3088.0,12.38,11.32,0.0,23.31,23.81,100.0,1.77,36.51,11.39,4.75
48,2010,Morrison,Rural,32664.0,4264.0,13.05,12.37,0.0,53.23,68.33,,14.15,50.42,12.39,11.57
49,2010,Mower,Rural,38332.0,5467.0,14.26,13.28,43.07,54.1,41.81,,14.88,10.59,9.9,46.27
50,2010,Murray,Rural,8445.0,785.0,9.3,9.44,25.0,1.64,27.5,,0.0,0.0,9.33,9.74
51,2010,Nicollet,Rural,30186.0,3505.0,11.61,10.33,49.9,31.93,1.36,,51.98,17.97,10.43,23.43
52,2010,Nobles,Rural,20746.0,3741.0,18.03,16.27,67.54,8.33,3.43,100.0,32.11,25.0,9.29,43.51
53,2010,Norman,Rural,6732.0,805.0,11.96,10.53,0.0,52.68,0.0,,73.08,25.71,10.61,21.74
54,2010,Olmsted,Urban,138904.0,11686.0,8.41,6.62,49.16,10.12,4.47,0.0,5.76,12.03,6.2,16.22
55,2010,Otter Tail,Rural,56491.0,7306.0,12.93,12.34,44.49,36.57,15.53,0.0,29.3,23.03,12.15,23.32
56,2010,Pennington,Rural,13803.0,1647.0,11.93,10.2,67.21,47.3,15.6,,92.77,28.47,10.11,30.36
57,2010,Pine,Rural,28109.0,3930.0,13.98,12.83,15.58,32.78,12.59,0.0,33.96,44.92,12.72,23.37
58,2010,Pipestone,Rural,9538.0,946.0,9.92,8.17,0.0,36.22,0.0,,86.98,13.25,8.04,61.6
59,2010,Polk,Urban,29677.0,3868.0,13.03,11.87,51.43,51.22,10.68,0.0,13.31,52.16,10.81,33.7
60,2010,Pope,Rural,10855.0,867.0,7.99,7.87,6.25,46.67,0.0,,,13.33,7.87,9.64
61,2010,Ramsey,Urban,488851.0,77325.0,15.82,9.71,37.92,35.47,29.57,0.0,19.04,28.02,8.33,28.54
