,year,countyServed,max radium pCi/L
0,1998,Anoka,5.6
1,1998,Blue Earth,5.6
2,1998,Brown,13.0
3,1998,Carlton,0.2
4,1998,Carver,5.4
5,1998,Chippewa,4.2
6,1998,Chisago,10.2
7,1998,Cottonwood,4.1
8,1998,Dakota,6.8
9,1998,Dodge,6.9
10,1998,Faribault,4.3
11,1998,Fillmore,6.2
12,1998,Freeborn,4.3
13,1998,Goodhue,8.6
14,1998,Hennepin,7.0
15,1998,Houston,5.7
16,1998,Isanti,3.2
17,1998,Kandiyohi,5.9
18,1998,Lac Qui Parle,0.2
19,1998,Le Sueur,4.3
20,1998,Lyon,0.39
21,1998,Mille Lacs,0.1
22,1998,Mower,4.3
23,1998,Nicollet,12.1
24,1998,Nobles,0.7
25,1998,Olmsted,5.7
26,1998,Pine,13.5
27,1998,Pipestone,3.0
28,1998,Ramsey,1.7
29,1998,Redwood,8.5
30,1998,Rice,8.3
31,1998,Rock,1.4
32,1998,Scott,7.4
33,1998,Sherburne,2.0
34,1998,Sibley,9.6
35,1998,St. Louis,2.1
36,1998,Stearns,0.4
37,1998,Steele,8.4
38,1998,Washington,1.5
39,1998,Watonwan,13.4
40,1998,Winona,7.5
41,1998,Wright,1.5
42,1999,Anoka,5.6
43,1999,Blue Earth,5.6
44,1999,Brown,12.0
45,1999,Carlton,0.2
46,1999,Carver,5.1
47,1999,Chippewa,8.8
48,1999,Chisago,7.8
49,1999,Cottonwood,4.1
50,1999,Dakota,6.8
51,1999,Dodge,6.9
52,1999,Faribault,4.3
53,1999,Fillmore,6.2
54,1999,Freeborn,4.3
55,1999,Goodhue,10.1
56,1999,Grant,2.5
57,1999,Hennepin,8.0
58,1999,Houston,7.4
59,1999,Isanti,3.6
60,1999,Itasca,2.2
61,1999,Jackson,2.1
62,1999,Kandiyohi,3.7
63,1999,Lac Qui Parle,0.2
64,1999,Le Sueur,4.3
65,1999,Lyon,0.39
66,1999,Martin,4.4
67,1999,Mille Lacs,1.4
68,1999,Morrison,0.9
69,1999,Mower,4.3
70,1999,Murray,0.24
71,1999,Nicollet,7.4
72,1999,Nobles,1.0
73,1999,Olmsted,3.7
74,1999,Pine,8.1
75,1999,Pipestone,1.4
76,1999,Ramsey,3.2
77,1999,Redwood,7.7
78,1999,Renville,2.4
79,1999,Rice,7.5
80,1999,Rock,1.4
81,1999,Scott,6.5
82,1999,Sherburne,2.0
83,1999,Sibley,6.6
84,1999,St. Louis,2.1
85,1999,Stearns,2.8
86,1999,Steele,5.2
87,1999,Swift,1.8
88,1999,Waseca,3.2
89,1999,Washington,1.5
90,1999,Watonwan,10.6
91,1999,Winona,7.5
92,1999,Wright,1.5
93,1999,Yellow Medicine,1.7
94,2001,Anoka,5.6
95,2001,Blue Earth,5.6
96,2001,Brown,10.5
97,2001,Carlton,0.2
98,2001,Carver,5.2
99,2001,Chippewa,3.3
100,2001,Chisago,7.8
101,2001,Cottonwood,4.1
102,2001,Dakota,6.8
103,2001,Dodge,6.9
104,2001,Faribault,4.3
105,2001,Fillmore,6.2
106,2001,Freeborn,4.3
107,2001,Goodhue,8.1
108,2001,Grant,2.5
109,2001,Hennepin,7.0
110,2001,Houston,10.3
111,2001,Isanti,3.6
112,2001,Itasca,6.2
113,2001,Jackson,2.1
114,2001,Kandiyohi,4.3
115,2001,Lac Qui Parle,0.2
116,2001,Le Sueur,4.3
117,2001,Lyon,0.39
118,2001,Martin,4.4
119,2001,McLeod,1.3
120,2001,Mille Lacs,1.4
121,2001,Morrison,0.9
122,2001,Mower,4.3
123,2001,Murray,1.0
124,2001,Nicollet,9.8
125,2001,Nobles,1.0
126,2001,Olmsted,3.7
127,2001,Pine,28.2
128,2001,Pipestone,1.4
129,2001,Ramsey,3.2
130,2001,Redwood,9.7
131,2001,Renville,2.8
132,2001,Rice,7.1
133,2001,Rock,1.4
134,2001,Scott,7.3
135,2001,Sherburne,2.0
136,2001,Sibley,11.5
137,2001,St. Louis,3.6
138,2001,Stearns,2.8
139,2001,Steele,7.6
140,2001,Swift,1.8
141,2001,Traverse,0.3
142,2001,Wabasha,3.2
143,2001,Waseca,3.6
144,2001,Washington,3.2
145,2001,Watonwan,8.2
146,2001,Winona,6.2
147,2001,Wright,1.5
148,2001,Yellow Medicine,1.7
149,2002,Aitkin,1.5
150,2002,Anoka,17.3
151,2002,Becker,2.5
152,2002,Beltrami,0.92
153,2002,Benton,0.7
154,2002,Big Stone,1.8
155,2002,Blue Earth,4.1
156,2002,Brown,14.2
157,2002,Carlton,0.5
158,2002,Carver,6.7
159,2002,Cass,1.04
160,2002,Chippewa,4.1
161,2002,Chisago,5.5
162,2002,Clay,1.4
163,2002,Cook,0.5
164,2002,Cottonwood,4.9
165,2002,Crow Wing,0.5
166,2002,Dakota,5.2
167,2002,Dodge,2.8
168,2002,Douglas,1.3
169,2002,Faribault,3.7
170,2002,Fillmore,5.0
171,2002,Freeborn,4.3
172,2002,Goodhue,8.3
173,2002,Grant,2.5
174,2002,Hennepin,7.4
175,2002,Houston,9.8
176,2002,Hubbard,0.1
177,2002,Isanti,0.8
178,2002,Itasca,3.8
179,2002,Jackson,2.1
180,2002,Kanabec,0.42
181,2002,Kandiyohi,4.3
182,2002,Kittson,2.7
183,2002,Koochiching,1.0
184,2002,Lac Qui Parle,0.4
185,2002,Lake,1.7
186,2002,Lake of the Woods,1.1
187,2002,Le Sueur,2.8
188,2002,Lincoln,0.45
189,2002,Lyon,2.0
190,2002,Mahnomen,0.97
191,2002,Marshall,1.8
192,2002,Martin,4.4
193,2002,McLeod,1.3
194,2002,Meeker,0.4
195,2002,Mille Lacs,1.4
196,2002,Morrison,0.9
197,2002,Mower,3.2
198,2002,Murray,1.0
199,2002,Nicollet,6.3
200,2002,Nobles,0.6
201,2002,Norman,0.5
202,2002,Olmsted,3.7
203,2002,Otter Tail,2.5
204,2002,Pennington,1.8
205,2002,Pine,18.3
206,2002,Pipestone,1.4
207,2002,Polk,1.0
208,2002,Pope,0.25
209,2002,Ramsey,3.2
210,2002,Red Lake,0.79
211,2002,Redwood,8.8
212,2002,Renville,2.8
213,2002,Rice,8.9
214,2002,Rock,0.45
215,2002,Roseau,1.2
216,2002,Scott,5.0
217,2002,Sherburne,2.7
218,2002,Sibley,10.1
219,2002,St. Louis,4.6
220,2002,Stearns,2.8
221,2002,Steele,6.1
222,2002,Stevens,0.2
223,2002,Swift,1.5
