pwsId,year,analyteCode,pwsName,countyServed,cityServed,waterSource,mean,max,populationServed,fips
1010001,1998,Arsenic,Aitkin,Aitkin,Aitkin,Groundwater,3.35 ug/L,3.6 ug/L,1984,27001
1010002,1998,Arsenic,Thompson Mobile Home Park,Aitkin,Aitkin,Groundwater,0.5 ug/L (ND),0.5 ug/L (ND),45,27001
1010019,1998,Arsenic,Why-Not Park,Aitkin,Aitkin,Groundwater,null,null,25,27001
1010011,1998,Arsenic,Hill City,Aitkin,Hill City,Groundwater,4.4 ug/L,4.4 ug/L,633,27001
1010016,1998,Arsenic,McGregor,Aitkin,McGregor,Groundwater,null,null,394,27001
1010013,1998,Arsenic,Palisade,Aitkin,Palisade,Groundwater,null,null,167,27001
1020034,1998,Arsenic,Andover,Anoka,Andover,Groundwater,1.75 ug/L,2.3 ug/L,19310,27003
1020001,1998,Arsenic,Anoka,Anoka,Anoka,Groundwater,1.7 ug/L,4.1 ug/L,17243,27003
1020040,1998,Arsenic,Bar None Ranch,Anoka,Anoka,Groundwater,null,null,60,27003
1020005,1998,Arsenic,GreyStone,Anoka,Bethel,Groundwater,2.8 ug/L,2.8 ug/L,560,27003
1020006,1998,Arsenic,Blaine,Anoka,Blaine,Groundwater,2.49 ug/L,11.0 ug/L,60199,27003
1020010,1998,Arsenic,Centennial Square Mobile Home Park,Anoka,Blaine,Groundwater,null,null,2000,27003
1020011,1998,Arsenic,Village Green North Mobile Home Park,Anoka,Cedar,Groundwater,null,null,450,27003
1020036,1998,Arsenic,Centerville,Anoka,Centerville,Groundwater,0.5 ug/L (ND),0.5 ug/L (ND),3900,27003
1020013,1998,Arsenic,Circle Pines,Anoka,Circle Pines,Groundwater,1.1 ug/L,1.1 ug/L,5018,27003
1020024,1998,Arsenic,Restwood Terrace,Anoka,Circle Pines,Groundwater,null,null,550,27003
1020016,1998,Arsenic,Columbia Heights,Anoka,Columbia Heights,Purchased Surface Water,null,null,19496,27003
1020017,1998,Arsenic,Coon Rapids,Anoka,Coon Rapids,Groundwater,2.4 ug/L,3.2 ug/L,61476,27003
1020042,1998,Arsenic,East Bethel,Anoka,East Bethel,Groundwater,null,null,127,27003
1020007,1998,Arsenic,Fridley Terrace Mobile Home Park,Anoka,Fridley,Groundwater,null,null,800,27003
1020031,1998,Arsenic,Fridley,Anoka,Fridley,Groundwater,0.5 ug/L (ND),0.5 ug/L (ND),27208,27003
1020002,1998,Arsenic,Flamingo Terrace Mobile Home Park,Anoka,Ham Lake,Groundwater,2.3 ug/L,2.3 ug/L,600,27003
1020037,1998,Arsenic,Willows of Ham Lake,Anoka,Ham Lake,Groundwater,1.6 ug/L,1.6 ug/L,69,27003
1020038,1998,Arsenic,Majestic Greens LLC,Anoka,Ham Lake,Groundwater,null,null,71,27003
1020041,1998,Arsenic,Ham Lake Apartments,Anoka,Ham Lake,Groundwater,null,null,100,27003
1020033,1998,Arsenic,Hilltop,Anoka,Hilltop,Purchased Surface Water,null,null,680,27003
1020025,1998,Arsenic,Parkview Cooperative,Anoka,Lexington,Groundwater,1.6 ug/L,1.6 ug/L,307,27003
1020032,1998,Arsenic,Lexington,Anoka,Lexington,Groundwater,2.49 ug/L,11.0 ug/L,2014,27003
1020014,1998,Arsenic,Baldwin Lake Estates,Anoka,Lino Lakes,Groundwater,null,null,260,27003
1020015,1998,Arsenic,MN Correctional Facility - Lino Lakes,Anoka,Lino Lakes,Groundwater,null,null,1200,27003
1020023,1998,Arsenic,Lino Lakes,Anoka,Lino Lakes,Groundwater,0.78 ug/L,1.6 ug/L,13270,27003
1020039,1998,Arsenic,Oak Grove,Anoka,Oak Grove,Purchased Groundwater,null,null,516,27003
1020044,1998,Arsenic,Oak Grove - Lake George,Anoka,Oak Grove,Groundwater,null,null,72,27003
1020035,1998,Arsenic,Ramsey,Anoka,Ramsey,Groundwater,2.98 ug/L,6.5 ug/L,11272,27003
1020029,1998,Arsenic,Spring Lake Park,Anoka,Spring Lake Park,Groundwater,null,null,6427,27003
1020028,1998,Arsenic,Saint Francis,Anoka,St. Francis,Groundwater,null,null,4439,27003
