Sample Population,Population Poverty,Females Poverty,Females < 5 Poverty,Females 5 Poverty,Females 6 to 11 Poverty,Females 12 to 14 Poverty,Females 15 Poverty,Females 16 to 17 Poverty,Females 18 to 24 Poverty,Females 25 to 34 Poverty,Females 35 to 44 Poverty,Females 45 to 54 Poverty,Females 55 to 64 Poverty,Females 65 to 74 Poverty,Females 75 > Poverty,Males Poverty,Males < 5 Poverty,Males 5 Poverty,Males 6 to 11 Poverty,Males 12 to 14 Poverty,Males 15 Poverty,Males 16 to 17 Poverty,Males 18 to 24 Poverty,Males 25 to 34 Poverty,Males 35 to 44 Poverty,Males 45 to 54 Poverty,Males 55 to 64 Poverty,Males 65 to 74 Poverty,Males 75 > Poverty,B01003_001E,state code,state,county code,county,year,Poverty %
16129.0,2185.0,1197.0,133.0,16.0,85.0,37.0,23.0,48.0,124.0,140.0,143.0,103.0,101.0,73.0,171.0,988.0,93.0,34.0,70.0,63.0,28.0,33.0,74.0,152.0,100.0,118.0,95.0,59.0,69.0,16325.0,27,MN,001,Aitkin,2010,13.547027094054187
323359.0,20730.0,11736.0,992.0,302.0,1123.0,535.0,124.0,385.0,1314.0,1859.0,1689.0,1258.0,928.0,559.0,668.0,8994.0,1090.0,193.0,1165.0,473.0,203.0,445.0,1053.0,1171.0,917.0,1119.0,682.0,240.0,243.0,327544.0,27,MN,003,Anoka,2010,6.410831305143819
31644.0,3554.0,2010.0,251.0,69.0,109.0,50.0,21.0,75.0,312.0,300.0,155.0,149.0,213.0,104.0,202.0,1544.0,185.0,48.0,215.0,45.0,59.0,113.0,144.0,111.0,120.0,146.0,205.0,70.0,83.0,32274.0,27,MN,005,Becker,2010,11.231197067374541
42043.0,8383.0,4528.0,581.0,98.0,406.0,128.0,88.0,97.0,1021.0,639.0,380.0,504.0,236.0,147.0,203.0,3855.0,517.0,67.0,621.0,200.0,76.0,176.0,566.0,527.0,366.0,433.0,130.0,80.0,96.0,43781.0,27,MN,007,Beltrami,2010,19.939109958851652
37411.0,4428.0,2570.0,213.0,100.0,214.0,84.0,25.0,44.0,585.0,526.0,279.0,163.0,60.0,105.0,172.0,1858.0,281.0,47.0,224.0,111.0,21.0,40.0,329.0,243.0,196.0,153.0,103.0,60.0,50.0,38148.0,27,MN,009,Benton,2010,11.836090989281226
5320.0,500.0,289.0,52.0,2.0,14.0,2.0,0.0,0.0,41.0,31.0,20.0,14.0,39.0,12.0,62.0,211.0,25.0,0.0,13.0,9.0,0.0,5.0,10.0,32.0,12.0,39.0,40.0,11.0,15.0,5324.0,27,MN,011,Big Stone,2010,9.398496240601503
59729.0,11331.0,6017.0,237.0,15.0,223.0,116.0,110.0,77.0,3387.0,537.0,349.0,243.0,190.0,128.0,405.0,5314.0,301.0,88.0,260.0,149.0,53.0,59.0,2824.0,548.0,305.0,430.0,167.0,65.0,65.0,62719.0,27,MN,013,Blue Earth,2010,18.97068425722848
24833.0,2434.0,1356.0,143.0,19.0,106.0,30.0,11.0,6.0,225.0,214.0,89.0,49.0,111.0,73.0,280.0,1078.0,211.0,31.0,161.0,59.0,37.0,36.0,58.0,74.0,92.0,78.0,88.0,54.0,99.0,26030.0,27,MN,015,Brown,2010,9.801473845286514
33658.0,3520.0,1867.0,203.0,27.0,208.0,42.0,11.0,116.0,237.0,224.0,208.0,185.0,123.0,104.0,179.0,1653.0,173.0,90.0,110.0,41.0,29.0,62.0,175.0,180.0,157.0,349.0,207.0,44.0,36.0,34958.0,27,MN,017,Carlton,2010,10.458137738427714
88071.0,4172.0,2504.0,144.0,25.0,516.0,190.0,8.0,120.0,289.0,250.0,318.0,203.0,116.0,133.0,192.0,1668.0,119.0,48.0,117.0,139.0,16.0,129.0,182.0,122.0,272.0,290.0,58.0,91.0,85.0,88668.0,27,MN,019,Carver,2010,4.737087122889487
28338.0,3707.0,1996.0,169.0,46.0,121.0,73.0,41.0,107.0,302.0,208.0,177.0,309.0,164.0,119.0,160.0,1711.0,157.0,42.0,185.0,95.0,39.0,38.0,157.0,150.0,163.0,340.0,187.0,94.0,64.0,28648.0,27,MN,021,Cass,2010,13.081374832380549
12171.0,1143.0,704.0,50.0,3.0,41.0,8.0,5.0,28.0,56.0,99.0,81.0,57.0,36.0,75.0,165.0,439.0,14.0,57.0,52.0,13.0,2.0,16.0,39.0,53.0,23.0,77.0,38.0,16.0,39.0,12426.0,27,MN,023,Chippewa,2010,9.391175745624846
50585.0,3594.0,2196.0,178.0,25.0,320.0,117.0,31.0,109.0,317.0,271.0,227.0,179.0,152.0,112.0,158.0,1398.0,202.0,3.0,140.0,89.0,0.0,66.0,161.0,142.0,105.0,230.0,129.0,53.0,78.0,52844.0,27,MN,025,Chisago,2010,7.104872986063063
53020.0,6358.0,3625.0,208.0,59.0,230.0,200.0,96.0,76.0,1401.0,321.0,321.0,189.0,213.0,57.0,254.0,2733.0,295.0,65.0,167.0,153.0,16.0,97.0,978.0,304.0,268.0,161.0,84.0,53.0,92.0,57089.0,27,MN,027,Clay,2010,11.991701244813278
8341.0,1296.0,740.0,56.0,19.0,71.0,68.0,6.0,12.0,91.0,100.0,53.0,62.0,75.0,44.0,83.0,556.0,56.0,0.0,79.0,34.0,15.0,23.0,31.0,77.0,63.0,78.0,28.0,36.0,36.0,8593.0,27,MN,029,Clearwater,2010,15.537705311113776
5203.0,463.0,190.0,2.0,3.0,0.0,0.0,8.0,21.0,10.0,8.0,20.0,77.0,12.0,6.0,23.0,273.0,0.0,0.0,0.0,31.0,9.0,12.0,115.0,2.0,44.0,37.0,20.0,0.0,3.0,5211.0,27,MN,031,Cook,2010,8.89871228137613
11609.0,1263.0,760.0,94.0,6.0,74.0,18.0,0.0,24.0,57.0,155.0,62.0,49.0,80.0,40.0,101.0,503.0,57.0,62.0,35.0,9.0,12.0,8.0,50.0,73.0,69.0,35.0,50.0,21.0,22.0,11712.0,27,MN,033,Cottonwood,2010,10.879490050822637
61064.0,7008.0,3769.0,294.0,61.0,289.0,117.0,35.0,67.0,688.0,584.0,308.0,325.0,342.0,245.0,414.0,3239.0,365.0,30.0,317.0,165.0,79.0,85.0,599.0,370.0,270.0,378.0,244.0,138.0,199.0,61836.0,27,MN,035,Crow Wing,2010,11.476483689244072
391308.0,21768.0,11681.0,897.0,155.0,980.0,530.0,199.0,341.0,1834.0,1745.0,1466.0,1396.0,865.0,482.0,791.0,10087.0,1111.0,240.0,1144.0,514.0,381.0,429.0,1524.0,1423.0,1152.0,1025.0,583.0,299.0,262.0,393380.0,27,MN,037,Dakota,2010,5.562881413106811
