Population,Poverty,Child Poverty,state,county
22689.0,1524.0,799.0,27,093
57898.0,5301.0,3064.0,27,131
3980.0,416.0,214.0,27,125
59791.0,7329.0,3941.0,27,027
20493.0,2201.0,1148.0,27,045
30434.0,3579.0,1914.0,27,119
14742.0,1170.0,721.0,27,143
10836.0,1451.0,846.0,27,165
4853.0,491.0,298.0,27,011
28833.0,3909.0,2080.0,27,021
20740.0,2452.0,1381.0,27,057
19550.0,2685.0,1567.0,27,091
21315.0,2889.0,1729.0,27,105
92076.0,5912.0,3455.0,27,141
100951.0,4126.0,2465.0,27,019
35455.0,3018.0,1790.0,27,085
530642.0,74112.0,40191.0,27,123
47085.0,6074.0,3225.0,27,169
20505.0,1053.0,564.0,27,039
63225.0,6810.0,4124.0,27,035
132905.0,6122.0,3473.0,27,171
5498.0,598.0,342.0,27,081
25281.0,3127.0,1836.0,27,095
34105.0,3851.0,1655.0,27,017
15807.0,1578.0,771.0,27,065
12237.0,1665.0,941.0,27,071
32589.0,3317.0,1980.0,27,097
13961.0,1535.0,902.0,27,113
36180.0,3236.0,1825.0,27,147
6147.0,564.0,360.0,27,167
15592.0,1896.0,1030.0,27,001
13425.0,1543.0,872.0,27,043
8140.0,580.0,339.0,27,101
41941.0,4409.0,2329.0,27,067
10356.0,902.0,444.0,27,075
9144.0,824.0,473.0,27,133
15060.0,1219.0,608.0,27,135
3225.0,319.0,178.0,27,155
33430.0,3678.0,2025.0,27,005
1223987.0,127872.0,68732.0,27,053
24075.0,1670.0,876.0,27,015
11724.0,1095.0,672.0,27,023
8619.0,1260.0,630.0,27,029
45342.0,4230.0,2299.0,27,049
38942.0,2850.0,1623.0,27,059
9766.0,768.0,347.0,27,063
39053.0,5277.0,2718.0,27,099
27418.0,3027.0,1515.0,27,115
152624.0,12864.0,7358.0,27,109
13304.0,1907.0,964.0,27,159
39449.0,4071.0,2465.0,27,009
29923.0,3295.0,1921.0,27,047
44098.0,5376.0,2898.0,27,061
10854.0,779.0,381.0,27,121
9491.0,1178.0,699.0,27,149
9228.0,1155.0,703.0,27,151
11065.0,1214.0,618.0,27,033
143352.0,7896.0,4826.0,27,139
21322.0,1651.0,805.0,27,157
9034.0,1056.0,612.0,27,117
6351.0,562.0,320.0,27,107
31585.0,3117.0,1558.0,27,103
37037.0,2814.0,1526.0,27,041
5868.0,566.0,370.0,27,051
4151.0,466.0,301.0,27,069
27986.0,2389.0,1365.0,27,079
5391.0,1254.0,657.0,27,087
53761.0,3210.0,1826.0,27,025
14900.0,1508.0,733.0,27,127
9592.0,1130.0,616.0,27,173
24186.0,2871.0,1503.0,27,153
43962.0,8306.0,4395.0,27,007
63316.0,11148.0,6088.0,27,013
18378.0,1451.0,946.0,27,055
6576.0,547.0,341.0,27,073
3713.0,399.0,246.0,27,077
57190.0,5328.0,2923.0,27,111
17693.0,1718.0,1013.0,27,161
191809.0,26991.0,14074.0,27,137
346853.0,20427.0,11803.0,27,003
151561.0,19552.0,10566.0,27,145
418832.0,25333.0,14050.0,27,037
24560.0,3473.0,1990.0,27,083
9265.0,637.0,350.0,27,089
14231.0,1420.0,775.0,27,129
252232.0,10822.0,6383.0,27,163
5322.0,670.0,367.0,27,031
