Population,Poverty,Child Poverty,state,county,year
16129.0,2185.0,1197.0,27,001,2010
323359.0,20730.0,11736.0,27,003,2010
31644.0,3554.0,2010.0,27,005,2010
42043.0,8383.0,4528.0,27,007,2010
37411.0,4428.0,2570.0,27,009,2010
5320.0,500.0,289.0,27,011,2010
59729.0,11331.0,6017.0,27,013,2010
24833.0,2434.0,1356.0,27,015,2010
33658.0,3520.0,1867.0,27,017,2010
88071.0,4172.0,2504.0,27,019,2010
28338.0,3707.0,1996.0,27,021,2010
12171.0,1143.0,704.0,27,023,2010
50585.0,3594.0,2196.0,27,025,2010
53020.0,6358.0,3625.0,27,027,2010
8341.0,1296.0,740.0,27,029,2010
5203.0,463.0,190.0,27,031,2010
11609.0,1263.0,760.0,27,033,2010
61064.0,7008.0,3769.0,27,035,2010
391308.0,21768.0,11681.0,27,037,2010
19682.0,1204.0,679.0,27,039,2010
35366.0,3800.0,1940.0,27,041,2010
14484.0,1581.0,968.0,27,043,2010
20344.0,2497.0,1313.0,27,045,2010
30658.0,3052.0,1801.0,27,047,2010
45357.0,3724.0,1872.0,27,049,2010
5931.0,712.0,363.0,27,051,2010
1114933.0,134363.0,72361.0,27,053,2010
18893.0,1732.0,965.0,27,055,2010
20020.0,2346.0,1214.0,27,057,2010
37138.0,3298.0,1616.0,27,059,2010
43690.0,5166.0,2568.0,27,061,2010
10253.0,933.0,582.0,27,063,2010
16334.0,2036.0,1127.0,27,065,2010
40693.0,4920.0,2725.0,27,067,2010
4453.0,284.0,148.0,27,069,2010
13416.0,1664.0,897.0,27,071,2010
7071.0,661.0,386.0,27,073,2010
10793.0,1252.0,676.0,27,075,2010
4137.0,565.0,295.0,27,077,2010
27351.0,2230.0,1351.0,27,079,2010
5906.0,545.0,364.0,27,081,2010
24273.0,2950.0,1640.0,27,083,2010
36094.0,2390.0,1389.0,27,085,2010
5254.0,1240.0,614.0,27,087,2010
9445.0,793.0,438.0,27,089,2010
20621.0,1850.0,1040.0,27,091,2010
22933.0,1983.0,1100.0,27,093,2010
24938.0,3088.0,1845.0,27,095,2010
32664.0,4264.0,2386.0,27,097,2010
38332.0,5467.0,3019.0,27,099,2010
8445.0,785.0,416.0,27,101,2010
30186.0,3505.0,1718.0,27,103,2010
20746.0,3741.0,1713.0,27,105,2010
6732.0,805.0,458.0,27,107,2010
138904.0,11686.0,6250.0,27,109,2010
56491.0,7306.0,4187.0,27,111,2010
13803.0,1647.0,797.0,27,113,2010
28109.0,3930.0,2161.0,27,115,2010
9538.0,946.0,579.0,27,117,2010
29677.0,3868.0,2000.0,27,119,2010
10855.0,867.0,493.0,27,121,2010
488851.0,77325.0,42196.0,27,123,2010
3943.0,387.0,230.0,27,125,2010
15614.0,1671.0,932.0,27,127,2010
15748.0,1695.0,1031.0,27,129,2010
56067.0,5851.0,3209.0,27,131,2010
9445.0,895.0,513.0,27,133,2010
15514.0,1639.0,950.0,27,135,2010
190964.0,28931.0,15806.0,27,137,2010
125317.0,5832.0,3444.0,27,139,2010
84440.0,6185.0,3877.0,27,141,2010
15048.0,1441.0,782.0,27,143,2010
138838.0,17894.0,9337.0,27,145,2010
36197.0,2717.0,1529.0,27,147,2010
8653.0,1237.0,638.0,27,149,2010
8959.0,811.0,517.0,27,151,2010
24444.0,3653.0,1968.0,27,153,2010
3485.0,325.0,174.0,27,155,2010
21685.0,1584.0,804.0,27,157,2010
13469.0,2260.0,1277.0,27,159,2010
18248.0,1389.0,872.0,27,161,2010
230531.0,11906.0,6596.0,27,163,2010
11107.0,1312.0,858.0,27,165,2010
6342.0,502.0,294.0,27,167,2010
47343.0,7307.0,4350.0,27,169,2010
119692.0,6554.0,3537.0,27,171,2010
10381.0,1317.0,777.0,27,173,2010
22920.0,2164.0,1182.0,27,093,2011
13525.0,1493.0,791.0,27,113,2011
55958.0,6054.0,3356.0,27,131,2011
6447.0,449.0,252.0,27,167,2011
4032.0,419.0,249.0,27,125,2011
53987.0,7043.0,3951.0,27,027,2011
14259.0,1687.0,990.0,27,043,2011
20419.0,2580.0,1353.0,27,045,2011
10585.0,1190.0,709.0,27,075,2011
30255.0,3693.0,1861.0,27,119,2011
15423.0,1763.0,999.0,27,135,2011
14957.0,1804.0,955.0,27,143,2011
11016.0,1151.0,781.0,27,165,2011
31879.0,3675.0,2119.0,27,005,2011
5159.0,579.0,366.0,27,011,2011
24771.0,2481.0,1354.0,27,015,2011
28342.0,4283.0,2286.0,27,021,2011
45194.0,3693.0,1984.0,27,049,2011
20004.0,2395.0,1212.0,27,057,2011
10118.0,1132.0,645.0,27,063,2011
20502.0,1897.0,1066.0,27,091,2011
20851.0,4061.0,1941.0,27,105,2011
27871.0,4172.0,2266.0,27,115,2011
85970.0,6867.0,4170.0,27,141,2011
13573.0,2444.0,1417.0,27,159,2011
37679.0,5032.0,2943.0,27,009,2011
89215.0,4504.0,2531.0,27,019,2011
30858.0,3448.0,2047.0,27,047,2011
44062.0,5005.0,2524.0,27,061,2011
36085.0,2701.0,1506.0,27,085,2011
10785.0,824.0,450.0,27,121,2011
492333.0,80612.0,43856.0,27,123,2011
8880.0,1267.0,652.0,27,149,2011
9011.0,826.0,522.0,27,151,2011
47574.0,7601.0,4346.0,27,169,2011
11383.0,1328.0,841.0,27,033,2011
127381.0,6385.0,3550.0,27,139,2011
19788.0,1279.0,727.0,27,039,2011
21410.0,1633.0,798.0,27,157,2011
9351.0,1053.0,619.0,27,117,2011
61573.0,7536.0,4079.0,27,035,2011
6690.0,850.0,440.0,27,107,2011
122179.0,6865.0,3713.0,27,171,2011
30213.0,3402.0,1758.0,27,103,2011
35426.0,3881.0,2045.0,27,041,2011
4432.0,355.0,182.0,27,069,2011
27499.0,2518.0,1438.0,27,079,2011
51622.0,3645.0,2037.0,27,025,2011
15697.0,1646.0,922.0,27,127,2011
24496.0,3798.0,2057.0,27,153,2011
42454.0,8351.0,4572.0,27,007,2011
18826.0,1696.0,897.0,27,055,2011
7108.0,645.0,372.0,27,073,2011
56122.0,7230.0,4180.0,27,111,2011
17994.0,1508.0,889.0,27,161,2011
325869.0,21514.0,11770.0,27,003,2011
394437.0,23770.0,13306.0,27,037,2011
5741.0,542.0,347.0,27,081,2011
9352.0,824.0,471.0,27,089,2011
25446.0,3419.0,1880.0,27,095,2011
233658.0,13303.0,7294.0,27,163,2011
33778.0,3800.0,1974.0,27,017,2011
16203.0,1951.0,1118.0,27,065,2011
5934.0,736.0,419.0,27,051,2011
5332.0,1410.0,713.0,27,087,2011
10252.0,1410.0,831.0,27,173,2011
60279.0,11408.0,6198.0,27,013,2011
4063.0,644.0,306.0,27,077,2011
191202.0,30638.0,16460.0,27,137,2011
141142.0,18052.0,9743.0,27,145,2011
24513.0,3200.0,1865.0,27,083,2011
15519.0,1680.0,1032.0,27,129,2011
5153.0,470.0,267.0,27,031,2011
13096.0,1645.0,834.0,27,071,2011
32760.0,4277.0,2355.0,27,097,2011
35951.0,3169.0,1789.0,27,147,2011
16092.0,1970.0,1109.0,27,001,2011
8613.0,855.0,460.0,27,101,2011
41250.0,5249.0,2771.0,27,067,2011
9394.0,1047.0,606.0,27,133,2011
3498.0,287.0,148.0,27,155,2011
1124293.0,138258.0,73852.0,27,053,2011
12155.0,1313.0,813.0,27,023,2011
8504.0,1380.0,763.0,27,029,2011
37490.0,3088.0,1590.0,27,059,2011
38227.0,5836.0,3109.0,27,099,2011
140610.0,11416.0,6175.0,27,109,2011
13028.0,1564.0,858.0,27,071,2012
32743.0,4328.0,2372.0,27,097,2012
35938.0,3106.0,1780.0,27,147,2012
15928.0,1999.0,1050.0,27,001,2012
8565.0,866.0,471.0,27,101,2012
41434.0,5362.0,2853.0,27,067,2012
9423.0,1126.0,678.0,27,133,2012
3440.0,318.0,178.0,27,155,2012
1136433.0,143141.0,76206.0,27,053,2012
12091.0,1142.0,688.0,27,023,2012
8523.0,1288.0,693.0,27,029,2012
37556.0,3041.0,1487.0,27,059,2012
38363.0,6072.0,3157.0,27,099,2012
142075.0,12013.0,6778.0,27,109,2012
35473.0,3641.0,1851.0,27,041,2012
27439.0,2489.0,1360.0,27,079,2012
15674.0,1652.0,917.0,27,127,2012
24416.0,3873.0,2143.0,27,153,2012
18720.0,1832.0,977.0,27,055,2012
56128.0,6870.0,4059.0,27,111,2012
328197.0,23324.0,12645.0,27,003,2012
397374.0,25246.0,14234.0,27,037,2012
9301.0,731.0,463.0,27,089,2012
236222.0,13199.0,7218.0,27,163,2012
16102.0,2112.0,1173.0,27,065,2012
22802.0,2415.0,1297.0,27,093,2012
13601.0,1441.0,778.0,27,113,2012
56096.0,6163.0,3496.0,27,131,2012
6413.0,449.0,238.0,27,167,2012
4041.0,454.0,248.0,27,125,2012
54900.0,6851.0,3825.0,27,027,2012
14091.0,1741.0,1051.0,27,043,2012
20396.0,2622.0,1335.0,27,045,2012
10573.0,1390.0,766.0,27,075,2012
30292.0,3705.0,1785.0,27,119,2012
15348.0,1594.0,930.0,27,135,2012
14901.0,1897.0,1032.0,27,143,2012
11002.0,1284.0,889.0,27,165,2012
32065.0,3786.0,2047.0,27,005,2012
5116.0,659.0,421.0,27,011,2012
24675.0,2221.0,1220.0,27,015,2012
28219.0,4644.0,2402.0,27,021,2012
45289.0,3934.0,2142.0,27,049,2012
20057.0,2427.0,1220.0,27,057,2012
10076.0,1154.0,629.0,27,063,2012
20418.0,2159.0,1254.0,27,091,2012
21004.0,3604.0,1706.0,27,105,2012
27824.0,4110.0,2217.0,27,115,2012
86644.0,6907.0,4219.0,27,141,2012
13558.0,2497.0,1514.0,27,159,2012
37980.0,5527.0,3129.0,27,009,2012
90526.0,4679.0,2699.0,27,019,2012
30760.0,3618.0,2264.0,27,047,2012
44179.0,5518.0,2763.0,27,061,2012
35879.0,2773.0,1555.0,27,085,2012
10755.0,932.0,471.0,27,121,2012
496998.0,83400.0,45007.0,27,123,2012
8974.0,1285.0,667.0,27,149,2012
9224.0,931.0,522.0,27,151,2012
47455.0,7536.0,4210.0,27,169,2012
11355.0,1446.0,793.0,27,033,2012
129370.0,6752.0,3655.0,27,139,2012
19902.0,1454.0,817.0,27,039,2012
21379.0,1662.0,815.0,27,157,2012
9308.0,944.0,586.0,27,117,2012
61841.0,8258.0,4363.0,27,035,2012
6625.0,749.0,375.0,27,107,2012
123844.0,7527.0,4047.0,27,171,2012
30343.0,3336.0,1728.0,27,103,2012
5906.0,582.0,344.0,27,051,2012
4411.0,405.0,228.0,27,069,2012
5371.0,1459.0,716.0,27,087,2012
51913.0,3949.0,2083.0,27,025,2012
10137.0,1177.0,676.0,27,173,2012
42841.0,8855.0,4935.0,27,007,2012
60723.0,11756.0,6321.0,27,013,2012
7049.0,498.0,314.0,27,073,2012
4007.0,710.0,311.0,27,077,2012
17916.0,1581.0,851.0,27,161,2012
191634.0,30852.0,16416.0,27,137,2012
142289.0,18030.0,9690.0,27,145,2012
5710.0,424.0,288.0,27,081,2012
24551.0,3446.0,2070.0,27,083,2012
25396.0,3560.0,1955.0,27,095,2012
15308.0,1706.0,998.0,27,129,2012
34101.0,4072.0,2055.0,27,017,2012
5150.0,503.0,229.0,27,031,2012
12940.0,1827.0,943.0,27,071,2013
32684.0,4124.0,2260.0,27,097,2013
35908.0,3716.0,2235.0,27,147,2013
15795.0,1914.0,987.0,27,001,2013
8500.0,900.0,511.0,27,101,2013
41568.0,5649.0,3062.0,27,067,2013
9399.0,1233.0,747.0,27,133,2013
3405.0,305.0,158.0,27,155,2013
1148765.0,146826.0,78006.0,27,053,2013
12054.0,1281.0,819.0,27,023,2013
8584.0,1419.0,771.0,27,029,2013
37589.0,3020.0,1520.0,27,059,2013
38529.0,6267.0,3253.0,27,099,2013
143531.0,11468.0,6346.0,27,109,2013
5892.0,597.0,361.0,27,051,2013
5390.0,1412.0,687.0,27,087,2013
10078.0,1233.0,703.0,27,173,2013
61177.0,11749.0,6237.0,27,013,2013
3955.0,311.0,116.0,27,077,2013
191875.0,31420.0,16567.0,27,137,2013
399938.0,30326.0,16811.0,27,037,2013
24576.0,3546.0,2093.0,27,083,2013
15154.0,1759.0,1047.0,27,129,2013
5144.0,427.0,188.0,27,031,2013
22746.0,2316.0,1289.0,27,093,2013
13689.0,1494.0,826.0,27,113,2013
56268.0,6531.0,3926.0,27,131,2013
6381.0,588.0,313.0,27,167,2013
4037.0,479.0,245.0,27,125,2013
55560.0,6843.0,3709.0,27,027,2013
14006.0,1789.0,1140.0,27,043,2013
20406.0,2460.0,1246.0,27,045,2013
10562.0,1440.0,745.0,27,075,2013
30347.0,3816.0,1888.0,27,119,2013
15292.0,1482.0,840.0,27,135,2013
14859.0,1748.0,945.0,27,143,2013
11010.0,1192.0,842.0,27,165,2013
32265.0,4152.0,2318.0,27,005,2013
